step,coalbench-grpo-rubric-lora-eval/reward_step,coalbench-grpo-rubric-lora-eval/reward_timestamp,coalbench-grpo-rubric-lora-train/reward_step,coalbench-grpo-rubric-lora-train/reward_timestamp
150,0.3750348687171936,1782365947000,0.38220441341400146,1782365417000
151,,,0.34431368112564087,1782365984000
152,,,0.3775332570075989,1782366040000
153,,,0.3925780653953552,1782366078000
154,,,0.38186728954315186,1782366105000
155,,,0.37748807668685913,1782366168000
156,,,0.374184250831604,1782366207000
157,,,0.34304678440093994,1782366261000
158,,,0.4096968173980713,1782366297000
159,,,0.3773511946201325,1782366337000
160,0.37222072879473367,1782366956000,0.4292958378791809,1782366366000
161,,,0.37113702297210693,1782366992000
162,,,0.3501077890396118,1782367025000
163,,,0.377179890871048,1782367064000
164,,,0.3164505660533905,1782367114000
165,,,0.39685022830963135,1782367155000
166,,,0.3787086308002472,1782367197000
167,,,0.33397743105888367,1782367228000
168,,,0.3671527206897736,1782367267000
169,,,0.4080005288124085,1782367316000
170,0.3734670797983805,1782367920000,0.3463515043258667,1782367367000
171,,,0.3312003016471863,1782367979000
172,,,0.41157084703445435,1782368013000
173,,,0.3781194686889648,1782368056000
174,,,0.35832974314689636,1782368108000
175,,,0.33958929777145386,1782368141000
176,,,0.37650012969970703,1782368170000
177,,,0.370745062828064,1782368213000
178,,,0.34492623805999756,1782368238000
179,,,0.3573017120361328,1782368274000
180,0.3747845768928528,1782368843000,0.356706440448761,1782368332000
